,first_page_exposure,stars,polarity,subjectivity,GunningFog,ReadingTime,activity_group,ease_group,feeling_group,food_group,judgement_group,location_group,misc_group,price_group,service_group,time_group,venue_group,helpfulness_prob
137091,561.5335879633203,3.0,0.9826,0.454931216931217,5.41,16.25,7,2,0,3,12,3,1,4,1,0,6,0.7418527050893202
23395,437.388310185168,1.0,-0.5994,0.6535714285714286,6.68,13.6,4,0,0,2,8,2,2,0,1,1,9,0.6320183815830699
82677,109.37436342611907,5.0,0.9136,0.7428571428571429,10.37,3.17,4,0,0,0,1,0,0,0,0,0,0,0.33595439292509677
71170,2117.127997685224,1.0,-0.4541,0.478395061728395,7.56,26.15,10,0,0,9,6,2,10,1,2,4,1,0.828445633641357
234789,461.0599074070342,5.0,0.9246,0.475,4.82,1.47,1,0,0,0,1,0,1,0,1,0,1,0.32812096052015993
259376,-3118.7598726851866,5.0,0.9664,0.5611111111111111,3.63,2.61,2,0,0,1,2,0,0,0,2,1,1,0.187452162638624
168176,-1954.471701388713,3.0,0.6124,0.7528846153846154,9.11,9.23,0,0,1,0,8,0,1,1,1,0,3,0.4458346963050584
261377,46.22401620354504,5.0,0.9901,0.4757168458781362,7.98,16.78,12,1,0,0,7,0,1,3,0,3,0,0.6239482246788369
235295,36.84844907419756,1.0,0.0258,0.7166666666666667,7.9,6.2,1,0,0,0,2,0,1,0,0,1,0,0.5236071508815473
37947,120.25880787009372,5.0,0.9978,0.6280022446689114,9.44,27.22,8,4,2,5,12,4,0,1,1,7,25,0.7017176708248759
35147,162.17591435229406,5.0,0.9432,0.7613333333333332,8.44,2.16,2,0,0,1,3,0,0,0,0,0,0,0.33703854762720076
138839,620.182615741156,5.0,0.9654,0.5527777777777778,8.22,6.36,1,0,0,1,5,2,0,0,1,0,1,0.498330174527378
57263,833.6215162035078,5.0,0.91,0.6551020408163266,6.03,4.45,3,0,0,0,4,0,1,0,1,1,0,0.3949306736508381
244744,309.6403819443658,5.0,0.9477,0.5656349206349206,7.33,9.18,1,0,0,0,5,1,0,0,1,2,0,0.5292166528242253
153846,-3287.6232638889924,5.0,0.8445,0.5629629629629629,3.28,2.67,1,0,0,1,2,1,0,0,0,1,0,0.2214669913623222
144441,76.41255787061527,2.0,-0.0772,0.5708333333333334,7.22,10.4,4,0,0,2,2,5,0,1,1,2,8,0.5952307691255355
86261,621.6075694444589,2.0,0.8074,0.6016666666666667,10.63,4.08,0,0,0,0,3,0,0,0,0,0,3,0.48930002906419884
85994,29.33025462972,5.0,0.9897,0.6097402597402597,3.6,4.8,2,0,0,1,9,2,0,0,1,2,1,0.4224700309819652
